n,ime,i,j,c1,c2
30,"2D Grid Graph for [6, 5]",1,3,5,4
30,"2D Grid Graph for [6, 5]",1,4,4,3
30,"2D Grid Graph for [6, 5]",2,2,4,4
30,"2D Grid Graph for [6, 5]",2,3,3,3
30,"2D Grid Graph for [6, 5]",2,4,3,3
30,,1,2,5,5
30,,1,3,4,4
30,,1,4,4,3
30,,2,2,5,5
30,,2,3,4,3
30,,2,4,3,3
30,,1,2,5,5
30,,1,3,4,4
30,,1,4,3,3
30,,2,2,5,5
30,,2,3,4,4
30,,2,4,4,3
31,Random Block Graph with 10 blocks of order 4,1,2,3,3
31,Random Block Graph with 10 blocks of order 4,1,3,2,3
31,Random Block Graph with 10 blocks of order 4,1,4,2,2
31,Random Block Graph with 10 blocks of order 4,2,2,2,2
31,Random Block Graph with 10 blocks of order 4,2,3,2,1
31,Random Block Graph with 10 blocks of order 4,2,4,2,3
31,Random Block Graph with 6 blocks of order 6,1,2,2,2
31,Random Block Graph with 6 blocks of order 6,1,3,2,2
31,Random Block Graph with 6 blocks of order 6,1,4,2,1
31,Random Block Graph with 6 blocks of order 6,2,2,1,2
31,Random Block Graph with 6 blocks of order 6,2,3,2,2
31,Random Block Graph with 6 blocks of order 6,2,4,1,1
31,Random Block Graph with 5 blocks of order 7,1,2,2,2
31,Random Block Graph with 5 blocks of order 7,1,3,2,2
31,Random Block Graph with 5 blocks of order 7,1,4,1,2
31,Random Block Graph with 5 blocks of order 7,2,2,1,1
31,Random Block Graph with 5 blocks of order 7,2,3,2,1
31,Random Block Graph with 5 blocks of order 7,2,4,1,1
31,Random Block Graph with 3 blocks of order 11,1,2,1,2
31,Random Block Graph with 3 blocks of order 11,1,3,1,1
31,Random Block Graph with 3 blocks of order 11,1,4,1,1
31,Random Block Graph with 3 blocks of order 11,2,2,1,1
31,Random Block Graph with 3 blocks of order 11,2,3,1,1
31,Random Block Graph with 3 blocks of order 11,2,4,1,1
32,Circular Ladder graph,1,2,4,4
32,Circular Ladder graph,1,3,4,4
32,Circular Ladder graph,1,4,4,4
32,Circular Ladder graph,2,2,4,4
32,Circular Ladder graph,2,3,4,3
32,Circular Ladder graph,2,4,3,3
32,"2D Grid Graph for [4, 8]",1,2,5,4
32,"2D Grid Graph for [4, 8]",1,3,5,5
32,"2D Grid Graph for [4, 8]",1,4,4,4
32,"2D Grid Graph for [4, 8]",2,2,4,4
32,"2D Grid Graph for [4, 8]",2,3,2,3
32,"2D Grid Graph for [4, 8]",2,4,4,4
32,"2D Grid Graph for [8, 4]",1,2,4,4
32,"2D Grid Graph for [8, 4]",1,3,4,4
32,"2D Grid Graph for [8, 4]",1,4,4,5
32,"2D Grid Graph for [8, 4]",2,2,4,3
32,"2D Grid Graph for [8, 4]",2,3,4,4
32,"2D Grid Graph for [8, 4]",2,4,4,3
32,,1,2,6,5
32,,1,3,5,4
32,,1,4,3,4
32,,2,2,4,5
32,,2,3,4,4
32,,2,4,4,3
32,,1,2,4,6
32,,1,3,3,6
32,,1,4,3,3
32,,2,2,4,4
32,,2,3,4,4
32,,2,4,4,4
33,"2D Grid Graph for [3, 11]",1,2,4,4
33,"2D Grid Graph for [3, 11]",1,3,4,5
33,"2D Grid Graph for [3, 11]",1,4,3,3
33,"2D Grid Graph for [3, 11]",2,2,3,4
33,"2D Grid Graph for [3, 11]",2,3,3,3
33,"2D Grid Graph for [3, 11]",2,4,3,5
33,"2D Grid Graph for [11, 3]",1,2,5,4
33,"2D Grid Graph for [11, 3]",1,3,6,4
33,"2D Grid Graph for [11, 3]",1,4,4,3
33,"2D Grid Graph for [11, 3]",2,2,3,2
33,"2D Grid Graph for [11, 3]",2,3,4,3
33,"2D Grid Graph for [11, 3]",2,4,3,2
33,Random Block Graph with 8 blocks of order 5,1,2,2,2
33,Random Block Graph with 8 blocks of order 5,1,3,2,2
33,Random Block Graph with 8 blocks of order 5,1,4,1,2
33,Random Block Graph with 8 blocks of order 5,2,2,1,1
33,Random Block Graph with 8 blocks of order 5,2,3,1,1
33,Random Block Graph with 8 blocks of order 5,2,4,1,1
33,Random Block Graph with 4 blocks of order 9,1,2,1,1
33,Random Block Graph with 4 blocks of order 9,1,3,2,1
33,Random Block Graph with 4 blocks of order 9,1,4,1,1
33,Random Block Graph with 4 blocks of order 9,2,2,1,1
33,Random Block Graph with 4 blocks of order 9,2,3,1,1
33,Random Block Graph with 4 blocks of order 9,2,4,1,1
34,Circular Ladder graph,1,2,5,5
34,Circular Ladder graph,1,3,4,5
34,Circular Ladder graph,1,4,8,5
34,Circular Ladder graph,2,2,4,3
34,Circular Ladder graph,2,3,4,3
34,Circular Ladder graph,2,4,3,3
34,Random Block Graph with 11 blocks of order 4,1,2,2,2
34,Random Block Graph with 11 blocks of order 4,1,3,2,2
34,Random Block Graph with 11 blocks of order 4,1,4,2,2
34,Random Block Graph with 11 blocks of order 4,2,2,2,1
34,Random Block Graph with 11 blocks of order 4,2,3,1,2
34,Random Block Graph with 11 blocks of order 4,2,4,2,2
34,Random Block Graph with 3 blocks of order 12,1,2,1,2
34,Random Block Graph with 3 blocks of order 12,1,3,2,1
34,Random Block Graph with 3 blocks of order 12,1,4,1,1
34,Random Block Graph with 3 blocks of order 12,2,2,1,1
34,Random Block Graph with 3 blocks of order 12,2,3,1,1
34,Random Block Graph with 3 blocks of order 12,2,4,1,1
35,"2D Grid Graph for [5, 7]",1,2,5,5
35,"2D Grid Graph for [5, 7]",1,3,6,6
35,"2D Grid Graph for [5, 7]",1,4,4,4
35,"2D Grid Graph for [5, 7]",2,2,4,4
35,"2D Grid Graph for [5, 7]",2,3,4,4
35,"2D Grid Graph for [5, 7]",2,4,3,4
35,"2D Grid Graph for [7, 5]",1,2,5,5
35,"2D Grid Graph for [7, 5]",1,3,4,5
35,"2D Grid Graph for [7, 5]",1,4,4,5
35,"2D Grid Graph for [7, 5]",2,2,3,3
35,"2D Grid Graph for [7, 5]",2,3,3,4
35,"2D Grid Graph for [7, 5]",2,4,4,3
35,,1,2,4,5
35,,1,3,4,5
35,,1,4,4,4
35,,2,2,4,4
35,,2,3,5,3
35,,2,4,3,4
35,,1,2,6,5
35,,1,3,5,4
35,,1,4,4,4
35,,2,2,6,4
35,,2,3,4,5
35,,2,4,3,4
36,Circular Ladder graph,1,2,5,5
36,Circular Ladder graph,1,3,4,4
36,Circular Ladder graph,1,4,4,6
36,Circular Ladder graph,2,2,3,2
36,Circular Ladder graph,2,3,4,2
36,Circular Ladder graph,2,4,3,3
36,"2D Grid Graph for [3, 12]",1,2,4,5
36,"2D Grid Graph for [3, 12]",1,3,6,6
36,"2D Grid Graph for [3, 12]",1,4,4,4
36,"2D Grid Graph for [3, 12]",2,2,3,3
36,"2D Grid Graph for [3, 12]",2,3,4,3
36,"2D Grid Graph for [3, 12]",2,4,4,2
36,"2D Grid Graph for [12, 3]",1,2,6,6
36,"2D Grid Graph for [12, 3]",1,3,5,3
36,"2D Grid Graph for [12, 3]",1,4,4,6
36,"2D Grid Graph for [12, 3]",2,2,3,3
36,"2D Grid Graph for [12, 3]",2,3,3,3
36,"2D Grid Graph for [12, 3]",2,4,3,4
36,"2D Grid Graph for [4, 9]",1,2,5,4
36,"2D Grid Graph for [4, 9]",1,3,5,5
36,"2D Grid Graph for [4, 9]",1,4,4,4
36,"2D Grid Graph for [4, 9]",2,2,4,3
36,"2D Grid Graph for [4, 9]",2,3,3,3
36,"2D Grid Graph for [4, 9]",2,4,3,3
36,"2D Grid Graph for [9, 4]",1,2,5,4
36,"2D Grid Graph for [9, 4]",1,3,4,4
36,"2D Grid Graph for [9, 4]",1,4,4,4
36,"2D Grid Graph for [9, 4]",2,2,3,3
36,"2D Grid Graph for [9, 4]",2,3,3,4
36,"2D Grid Graph for [9, 4]",2,4,4,3
36,"2D Grid Graph for [6, 6]",1,2,6,6
36,"2D Grid Graph for [6, 6]",1,3,4,6
36,"2D Grid Graph for [6, 6]",1,4,5,5
36,"2D Grid Graph for [6, 6]",2,2,3,2
36,"2D Grid Graph for [6, 6]",2,3,5,4
36,"2D Grid Graph for [6, 6]",2,4,4,3
36,,1,2,6,6
36,,1,3,5,5
36,,1,4,4,3
36,,2,2,4,4
36,,2,3,4,4
36,,2,4,4,4
36,,1,2,5,5
36,,1,3,4,5
36,,1,4,4,4
36,,2,2,5,5
36,,2,3,5,4
36,,2,4,4,4
36,,1,2,6,6
36,,1,3,6,6
36,,1,4,5,5
36,,2,2,4,4
36,,2,3,4,4
36,,2,4,4,4
36,Random Block Graph with 7 blocks of order 6,1,2,2,2
36,Random Block Graph with 7 blocks of order 6,1,3,2,2
36,Random Block Graph with 7 blocks of order 6,1,4,2,2
36,Random Block Graph with 7 blocks of order 6,2,2,1,1
36,Random Block Graph with 7 blocks of order 6,2,3,1,1
36,Random Block Graph with 7 blocks of order 6,2,4,1,1
36,Random Block Graph with 5 blocks of order 8,1,2,1,2
36,Random Block Graph with 5 blocks of order 8,1,3,1,2
36,Random Block Graph with 5 blocks of order 8,1,4,2,1
36,Random Block Graph with 5 blocks of order 8,2,2,1,1
36,Random Block Graph with 5 blocks of order 8,2,3,1,1
36,Random Block Graph with 5 blocks of order 8,2,4,1,1
37,Random Block Graph with 12 blocks of order 4,1,2,2,2
37,Random Block Graph with 12 blocks of order 4,1,3,2,2
37,Random Block Graph with 12 blocks of order 4,1,4,2,3
37,Random Block Graph with 12 blocks of order 4,2,2,2,1
37,Random Block Graph with 12 blocks of order 4,2,3,2,2
37,Random Block Graph with 12 blocks of order 4,2,4,2,2
37,Random Block Graph with 9 blocks of order 5,1,2,1,2
37,Random Block Graph with 9 blocks of order 5,1,3,2,2
37,Random Block Graph with 9 blocks of order 5,1,4,2,2
37,Random Block Graph with 9 blocks of order 5,2,2,1,1
37,Random Block Graph with 9 blocks of order 5,2,3,2,2
37,Random Block Graph with 9 blocks of order 5,2,4,1,2
37,Random Block Graph with 6 blocks of order 7,1,2,2,2
37,Random Block Graph with 6 blocks of order 7,1,3,4,2
37,Random Block Graph with 6 blocks of order 7,1,4,2,2
37,Random Block Graph with 6 blocks of order 7,2,2,2,1
37,Random Block Graph with 6 blocks of order 7,2,3,1,2
37,Random Block Graph with 6 blocks of order 7,2,4,2,2
37,Random Block Graph with 4 blocks of order 10,1,2,2,2
37,Random Block Graph with 4 blocks of order 10,1,3,2,2
37,Random Block Graph with 4 blocks of order 10,1,4,2,2
37,Random Block Graph with 4 blocks of order 10,2,2,1,1
37,Random Block Graph with 4 blocks of order 10,2,3,1,1
37,Random Block Graph with 4 blocks of order 10,2,4,1,1
37,Random Block Graph with 3 blocks of order 13,1,2,1,1
37,Random Block Graph with 3 blocks of order 13,1,3,1,1
37,Random Block Graph with 3 blocks of order 13,1,4,1,1
37,Random Block Graph with 3 blocks of order 13,2,2,1,1
37,Random Block Graph with 3 blocks of order 13,2,3,1,1
37,Random Block Graph with 3 blocks of order 13,2,4,1,1
38,Circular Ladder graph,1,2,6,4
38,Circular Ladder graph,1,3,4,4
38,Circular Ladder graph,1,4,4,5
38,Circular Ladder graph,2,2,4,3
38,Circular Ladder graph,2,3,4,3
38,Circular Ladder graph,2,4,3,3
39,"2D Grid Graph for [3, 13]",1,2,4,6
39,"2D Grid Graph for [3, 13]",1,3,4,6
39,"2D Grid Graph for [3, 13]",1,4,3,3
39,"2D Grid Graph for [3, 13]",2,2,3,4
39,"2D Grid Graph for [3, 13]",2,3,3,4
39,"2D Grid Graph for [3, 13]",2,4,3,3
39,"2D Grid Graph for [13, 3]",1,2,6,4
39,"2D Grid Graph for [13, 3]",1,3,3,4
39,"2D Grid Graph for [13, 3]",1,4,5,5
39,"2D Grid Graph for [13, 3]",2,2,3,3
39,"2D Grid Graph for [13, 3]",2,3,6,4
39,"2D Grid Graph for [13, 3]",2,4,3,4
40,Circular Ladder graph,1,2,4,4
40,Circular Ladder graph,1,3,5,4
40,Circular Ladder graph,1,4,5,4
40,Circular Ladder graph,2,2,2,4
40,Circular Ladder graph,2,3,5,4
40,Circular Ladder graph,2,4,5,5
40,"2D Grid Graph for [4, 10]",1,2,5,5
40,"2D Grid Graph for [4, 10]",1,3,6,5
40,"2D Grid Graph for [4, 10]",1,4,5,4
40,"2D Grid Graph for [4, 10]",2,2,3,3
40,"2D Grid Graph for [4, 10]",2,3,4,4
40,"2D Grid Graph for [4, 10]",2,4,3,4
40,"2D Grid Graph for [10, 4]",1,2,5,5
40,"2D Grid Graph for [10, 4]",1,3,4,5
40,"2D Grid Graph for [10, 4]",1,4,4,6
40,"2D Grid Graph for [10, 4]",2,2,4,4
40,"2D Grid Graph for [10, 4]",2,3,4,4
40,"2D Grid Graph for [10, 4]",2,4,3,3
40,"2D Grid Graph for [5, 8]",1,2,4,5
40,"2D Grid Graph for [5, 8]",1,3,5,5
40,"2D Grid Graph for [5, 8]",1,4,5,5
40,"2D Grid Graph for [5, 8]",2,2,3,5
40,"2D Grid Graph for [5, 8]",2,3,4,3
40,"2D Grid Graph for [5, 8]",2,4,3,3
40,"2D Grid Graph for [8, 5]",1,2,5,5
40,"2D Grid Graph for [8, 5]",1,3,5,5
40,"2D Grid Graph for [8, 5]",1,4,4,5
40,"2D Grid Graph for [8, 5]",2,2,4,4
40,"2D Grid Graph for [8, 5]",2,3,4,4
40,"2D Grid Graph for [8, 5]",2,4,5,3
40,Random Block Graph with 13 blocks of order 4,1,2,3,3
40,Random Block Graph with 13 blocks of order 4,1,3,4,2
40,Random Block Graph with 13 blocks of order 4,1,4,2,2
40,Random Block Graph with 13 blocks of order 4,2,2,1,2
40,Random Block Graph with 13 blocks of order 4,2,3,2,2
40,Random Block Graph with 13 blocks of order 4,2,4,2,2
40,,1,2,9,7
40,,1,3,4,4
40,,1,4,5,5
40,,2,2,4,4
40,,2,3,4,4
40,,2,4,4,4
40,,1,2,6,6
40,,1,3,4,5
40,,1,4,4,5
40,,2,2,5,5
40,,2,3,3,5
40,,2,4,5,4
40,,1,2,6,5
40,,1,3,4,6
40,,1,4,5,4
40,,2,2,5,5
40,,2,3,6,6
40,,2,4,5,4
40,,1,2,5,4
40,,1,3,8,6
40,,1,4,5,4
40,,2,2,5,4
40,,2,3,4,5
40,,2,4,4,5
40,Random Block Graph with 3 blocks of order 14,1,2,2,2
40,Random Block Graph with 3 blocks of order 14,1,3,1,1
40,Random Block Graph with 3 blocks of order 14,1,4,1,1
40,Random Block Graph with 3 blocks of order 14,2,2,1,1
40,Random Block Graph with 3 blocks of order 14,2,3,1,1
40,Random Block Graph with 3 blocks of order 14,2,4,1,1
41,Random Block Graph with 10 blocks of order 5,1,2,2,2
41,Random Block Graph with 10 blocks of order 5,1,3,4,3
41,Random Block Graph with 10 blocks of order 5,1,4,2,2
41,Random Block Graph with 10 blocks of order 5,2,2,1,2
41,Random Block Graph with 10 blocks of order 5,2,3,2,2
41,Random Block Graph with 10 blocks of order 5,2,4,2,2
41,Random Block Graph with 8 blocks of order 6,1,2,1,2
41,Random Block Graph with 8 blocks of order 6,1,3,2,2
41,Random Block Graph with 8 blocks of order 6,1,4,2,3
41,Random Block Graph with 8 blocks of order 6,2,2,2,1
41,Random Block Graph with 8 blocks of order 6,2,3,2,1
41,Random Block Graph with 8 blocks of order 6,2,4,2,2
41,Random Block Graph with 5 blocks of order 9,1,2,2,1
41,Random Block Graph with 5 blocks of order 9,1,3,2,1
41,Random Block Graph with 5 blocks of order 9,1,4,1,1
41,Random Block Graph with 5 blocks of order 9,2,2,1,2
41,Random Block Graph with 5 blocks of order 9,2,3,2,1
41,Random Block Graph with 5 blocks of order 9,2,4,1,1
41,Random Block Graph with 4 blocks of order 11,1,2,2,2
41,Random Block Graph with 4 blocks of order 11,1,3,1,2
41,Random Block Graph with 4 blocks of order 11,1,4,1,1
41,Random Block Graph with 4 blocks of order 11,2,2,1,2
41,Random Block Graph with 4 blocks of order 11,2,3,1,1
41,Random Block Graph with 4 blocks of order 11,2,4,1,1
42,Circular Ladder graph,1,2,4,6
42,Circular Ladder graph,1,3,5,7
42,Circular Ladder graph,1,4,4,4
42,Circular Ladder graph,2,2,3,4
42,Circular Ladder graph,2,3,3,4
42,Circular Ladder graph,2,4,3,4
42,"2D Grid Graph for [3, 14]",1,2,5,5
42,"2D Grid Graph for [3, 14]",1,3,5,6
42,"2D Grid Graph for [3, 14]",1,4,4,3
42,"2D Grid Graph for [3, 14]",2,2,3,4
42,"2D Grid Graph for [3, 14]",2,3,4,3
42,"2D Grid Graph for [3, 14]",2,4,4,5
42,"2D Grid Graph for [14, 3]",1,2,6,6
42,"2D Grid Graph for [14, 3]",1,3,5,6
42,"2D Grid Graph for [14, 3]",1,4,4,7
42,"2D Grid Graph for [14, 3]",2,2,3,4
42,"2D Grid Graph for [14, 3]",2,3,4,4
42,"2D Grid Graph for [14, 3]",2,4,4,3
42,"2D Grid Graph for [6, 7]",1,2,7,6
42,"2D Grid Graph for [6, 7]",1,3,5,6
42,"2D Grid Graph for [6, 7]",1,4,6,6
42,"2D Grid Graph for [6, 7]",2,2,4,4
42,"2D Grid Graph for [6, 7]",2,3,4,4
42,"2D Grid Graph for [6, 7]",2,4,4,5
42,"2D Grid Graph for [7, 6]",1,2,6,7
42,"2D Grid Graph for [7, 6]",1,3,5,5
42,"2D Grid Graph for [7, 6]",1,4,4,6
42,"2D Grid Graph for [7, 6]",2,2,4,3
42,"2D Grid Graph for [7, 6]",2,3,3,4
42,"2D Grid Graph for [7, 6]",2,4,4,5
42,,1,2,7,6
42,,1,3,5,5
42,,1,4,5,4
42,,2,2,6,5
42,,2,3,4,6
42,,2,4,5,4
42,,1,2,5,4
42,,1,3,5,5
42,,1,4,5,5
42,,2,2,5,5
42,,2,3,5,5
42,,2,4,4,4
43,Random Block Graph with 14 blocks of order 4,1,2,2,3
43,Random Block Graph with 14 blocks of order 4,1,3,3,2
43,Random Block Graph with 14 blocks of order 4,1,4,2,3
43,Random Block Graph with 14 blocks of order 4,2,2,2,2
43,Random Block Graph with 14 blocks of order 4,2,3,2,2
43,Random Block Graph with 14 blocks of order 4,2,4,2,2
43,Random Block Graph with 7 blocks of order 7,1,2,3,2
43,Random Block Graph with 7 blocks of order 7,1,3,2,2
43,Random Block Graph with 7 blocks of order 7,1,4,2,2
43,Random Block Graph with 7 blocks of order 7,2,2,2,1
43,Random Block Graph with 7 blocks of order 7,2,3,1,2
43,Random Block Graph with 7 blocks of order 7,2,4,2,2
43,Random Block Graph with 6 blocks of order 8,1,2,1,2
43,Random Block Graph with 6 blocks of order 8,1,3,2,2
43,Random Block Graph with 6 blocks of order 8,1,4,2,2
43,Random Block Graph with 6 blocks of order 8,2,2,1,2
43,Random Block Graph with 6 blocks of order 8,2,3,1,1
43,Random Block Graph with 6 blocks of order 8,2,4,1,1
44,Circular Ladder graph,1,2,6,5
44,Circular Ladder graph,1,3,5,4
44,Circular Ladder graph,1,4,6,6
44,Circular Ladder graph,2,2,4,3
44,Circular Ladder graph,2,3,4,4
44,Circular Ladder graph,2,4,3,4
44,"2D Grid Graph for [4, 11]",1,2,5,5
44,"2D Grid Graph for [4, 11]",1,3,4,5
44,"2D Grid Graph for [4, 11]",1,4,5,5
44,"2D Grid Graph for [4, 11]",2,2,3,3
44,"2D Grid Graph for [4, 11]",2,3,4,5
44,"2D Grid Graph for [4, 11]",2,4,4,4
44,"2D Grid Graph for [11, 4]",1,2,5,6
44,"2D Grid Graph for [11, 4]",1,3,5,5
44,"2D Grid Graph for [11, 4]",1,4,4,4
44,"2D Grid Graph for [11, 4]",2,2,3,4
44,"2D Grid Graph for [11, 4]",2,3,4,3
44,"2D Grid Graph for [11, 4]",2,4,4,3
44,,1,2,8,8
44,,1,3,6,5
44,,1,4,5,5
44,,2,2,5,6
44,,2,3,6,4
44,,2,4,4,4
44,,1,2,6,8
44,,1,3,7,8
44,,1,4,4,4
44,,2,2,4,4
44,,2,3,5,4
44,,2,4,4,4
45,"2D Grid Graph for [5, 9]",1,2,6,6
45,"2D Grid Graph for [5, 9]",1,3,6,5
45,"2D Grid Graph for [5, 9]",1,4,5,5
45,"2D Grid Graph for [5, 9]",2,2,5,5
45,"2D Grid Graph for [5, 9]",2,3,4,3
45,"2D Grid Graph for [5, 9]",2,4,4,4
45,"2D Grid Graph for [9, 5]",1,2,5,6
45,"2D Grid Graph for [9, 5]",1,3,5,5
45,"2D Grid Graph for [9, 5]",1,4,5,5
45,"2D Grid Graph for [9, 5]",2,2,3,4
45,"2D Grid Graph for [9, 5]",2,3,3,5
45,"2D Grid Graph for [9, 5]",2,4,4,4
45,,1,2,6,7
45,,1,3,5,5
45,,1,4,4,4
45,,2,2,5,5
45,,2,3,5,4
45,,2,4,4,5
45,,1,2,7,5
45,,1,3,6,5
45,,1,4,5,4
45,,2,2,5,5
45,,2,3,5,5
45,,2,4,4,4
45,Random Block Graph with 11 blocks of order 5,1,2,3,2
45,Random Block Graph with 11 blocks of order 5,1,3,2,2
45,Random Block Graph with 11 blocks of order 5,1,4,3,3
45,Random Block Graph with 11 blocks of order 5,2,2,1,1
45,Random Block Graph with 11 blocks of order 5,2,3,2,2
45,Random Block Graph with 11 blocks of order 5,2,4,2,2
45,Random Block Graph with 4 blocks of order 12,1,2,1,2
45,Random Block Graph with 4 blocks of order 12,1,3,1,1
45,Random Block Graph with 4 blocks of order 12,1,4,1,2
45,Random Block Graph with 4 blocks of order 12,2,2,1,1
45,Random Block Graph with 4 blocks of order 12,2,3,1,2
45,Random Block Graph with 4 blocks of order 12,2,4,2,1
46,Circular Ladder graph,1,2,6,5
46,Circular Ladder graph,1,3,4,4
46,Circular Ladder graph,1,4,5,4
46,Circular Ladder graph,2,2,4,4
46,Circular Ladder graph,2,3,4,3
46,Circular Ladder graph,2,4,4,5
46,Random Block Graph with 9 blocks of order 6,1,2,2,2
46,Random Block Graph with 9 blocks of order 6,1,3,3,2
46,Random Block Graph with 9 blocks of order 6,1,4,3,2
46,Random Block Graph with 9 blocks of order 6,2,2,1,1
46,Random Block Graph with 9 blocks of order 6,2,3,2,2
46,Random Block Graph with 9 blocks of order 6,2,4,3,2
46,Random Block Graph with 5 blocks of order 10,1,2,2,1
46,Random Block Graph with 5 blocks of order 10,1,3,1,1
46,Random Block Graph with 5 blocks of order 10,1,4,2,2
46,Random Block Graph with 5 blocks of order 10,2,2,2,2
46,Random Block Graph with 5 blocks of order 10,2,3,3,1
46,Random Block Graph with 5 blocks of order 10,2,4,1,1
48,Circular Ladder graph,1,2,4,7
48,Circular Ladder graph,1,3,4,5
48,Circular Ladder graph,1,4,5,5
48,Circular Ladder graph,2,2,4,3
48,Circular Ladder graph,2,3,4,2
48,Circular Ladder graph,2,4,4,2
48,"2D Grid Graph for [4, 12]",1,2,5,6
48,"2D Grid Graph for [4, 12]",1,3,5,4
48,"2D Grid Graph for [4, 12]",1,4,4,6
48,"2D Grid Graph for [4, 12]",2,2,5,5
48,"2D Grid Graph for [4, 12]",2,3,4,5
48,"2D Grid Graph for [4, 12]",2,4,4,5
48,"2D Grid Graph for [12, 4]",1,2,5,4
48,"2D Grid Graph for [12, 4]",1,3,5,5
48,"2D Grid Graph for [12, 4]",1,4,4,5
48,"2D Grid Graph for [12, 4]",2,2,4,2
48,"2D Grid Graph for [12, 4]",2,3,4,4
48,"2D Grid Graph for [12, 4]",2,4,3,4
48,"2D Grid Graph for [6, 8]",1,2,6,6
48,"2D Grid Graph for [6, 8]",1,3,7,6
48,"2D Grid Graph for [6, 8]",1,4,5,4
48,"2D Grid Graph for [6, 8]",2,2,5,5
48,"2D Grid Graph for [6, 8]",2,3,5,5
48,"2D Grid Graph for [6, 8]",2,4,3,5
48,"2D Grid Graph for [8, 6]",1,2,6,6
48,"2D Grid Graph for [8, 6]",1,3,6,6
48,"2D Grid Graph for [8, 6]",1,4,5,6
48,"2D Grid Graph for [8, 6]",2,2,4,3
48,"2D Grid Graph for [8, 6]",2,3,4,4
48,"2D Grid Graph for [8, 6]",2,4,5,4
48,,1,2,7,8
48,,1,3,7,8
48,,1,4,6,5
48,,2,2,4,5
48,,2,3,4,4
48,,2,4,4,4
48,,1,2,6,6
48,,1,3,6,5
48,,1,4,6,5
48,,2,2,6,7
48,,2,3,5,5
48,,2,4,4,4
48,,1,2,6,6
48,,1,3,5,6
48,,1,4,5,5
48,,2,2,6,6
48,,2,3,5,5
48,,2,4,5,5
48,,1,2,8,8
48,,1,3,9,6
48,,1,4,4,4
48,,2,2,4,4
48,,2,3,4,4
48,,2,4,4,4
49,"2D Grid Graph for [7, 7]",1,2,7,6
49,"2D Grid Graph for [7, 7]",1,3,5,7
49,"2D Grid Graph for [7, 7]",1,4,4,6
49,"2D Grid Graph for [7, 7]",2,2,5,5
49,"2D Grid Graph for [7, 7]",2,3,4,5
49,"2D Grid Graph for [7, 7]",2,4,4,4
49,,1,2,6,6
49,,1,3,5,6
49,,1,4,5,5
49,,2,2,7,5
49,,2,3,6,5
49,,2,4,5,5
49,Random Block Graph with 12 blocks of order 5,1,2,2,2
49,Random Block Graph with 12 blocks of order 5,1,3,2,3
49,Random Block Graph with 12 blocks of order 5,1,4,2,2
49,Random Block Graph with 12 blocks of order 5,2,2,2,1
49,Random Block Graph with 12 blocks of order 5,2,3,2,2
49,Random Block Graph with 12 blocks of order 5,2,4,1,2
49,Random Block Graph with 8 blocks of order 7,1,2,2,2
49,Random Block Graph with 8 blocks of order 7,1,3,2,2
49,Random Block Graph with 8 blocks of order 7,1,4,2,2
49,Random Block Graph with 8 blocks of order 7,2,2,2,1
49,Random Block Graph with 8 blocks of order 7,2,3,2,1
49,Random Block Graph with 8 blocks of order 7,2,4,2,2
49,Random Block Graph with 6 blocks of order 9,1,2,1,2
49,Random Block Graph with 6 blocks of order 9,1,3,2,2
49,Random Block Graph with 6 blocks of order 9,1,4,2,2
49,Random Block Graph with 6 blocks of order 9,2,2,1,1
49,Random Block Graph with 6 blocks of order 9,2,3,2,2
49,Random Block Graph with 6 blocks of order 9,2,4,2,1
49,Random Block Graph with 4 blocks of order 13,1,2,2,2
49,Random Block Graph with 4 blocks of order 13,1,3,2,2
49,Random Block Graph with 4 blocks of order 13,1,4,1,1
49,Random Block Graph with 4 blocks of order 13,2,2,1,1
49,Random Block Graph with 4 blocks of order 13,2,3,1,1
49,Random Block Graph with 4 blocks of order 13,2,4,1,1
50,Circular Ladder graph,1,2,4,5
50,Circular Ladder graph,1,3,6,4
50,Circular Ladder graph,1,4,7,5
50,Circular Ladder graph,2,2,4,2
50,Circular Ladder graph,2,3,3,4
50,Circular Ladder graph,2,4,4,4
50,"2D Grid Graph for [5, 10]",1,2,6,5
50,"2D Grid Graph for [5, 10]",1,3,6,6
50,"2D Grid Graph for [5, 10]",1,4,5,5
50,"2D Grid Graph for [5, 10]",2,2,4,3
50,"2D Grid Graph for [5, 10]",2,3,5,4
50,"2D Grid Graph for [5, 10]",2,4,4,4
50,"2D Grid Graph for [10, 5]",1,2,6,6
50,"2D Grid Graph for [10, 5]",1,3,6,6
50,"2D Grid Graph for [10, 5]",1,4,6,5
50,"2D Grid Graph for [10, 5]",2,2,4,3
50,"2D Grid Graph for [10, 5]",2,3,4,4
50,"2D Grid Graph for [10, 5]",2,4,4,4
50,,1,2,5,6
50,,1,3,6,6
50,,1,4,5,4
50,,2,2,5,5
50,,2,3,5,5
50,,2,4,5,5
50,,1,2,6,8
50,,1,3,6,6
50,,1,4,7,6
50,,2,2,5,5
50,,2,3,5,5
50,,2,4,5,4
50,Random Block Graph with 7 blocks of order 8,1,2,2,2
50,Random Block Graph with 7 blocks of order 8,1,3,2,2
50,Random Block Graph with 7 blocks of order 8,1,4,2,2
50,Random Block Graph with 7 blocks of order 8,2,2,1,1
50,Random Block Graph with 7 blocks of order 8,2,3,2,3
50,Random Block Graph with 7 blocks of order 8,2,4,2,1
